X1,X2,X3,X4,X5,X6,X7,ID
med,med,3,4,big,med,acc,1124
vhigh,vhigh,NA,4,small,high,unacc,93
low,vhigh,4,NA,med,low,unacc,1372
med,high,2,NA,big,low,unacc,997
high,high,NA,NA,med,low,unacc,643
high,high,4,4,small,med,unacc,605
low,low,2,NA,med,low,unacc,1642
low,low,2,4,big,low,unacc,1636
vhigh,vhigh,3,NA,big,high,unacc,54
vhigh,high,2,4,med,high,unacc,123
med,med,4,4,big,med,acc,1151
med,low,NA,2,big,med,unacc,1277
low,high,NA,NA,big,med,acc,1511
med,vhigh,NA,2,small,low,unacc,946
med,med,2,NA,med,high,acc,1104
low,high,NA,2,big,high,unacc,1494
low,vhigh,2,NA,big,low,unacc,1321
high,low,4,2,big,med,unacc,818
med,high,NA,4,med,high,acc,1068
med,low,3,4,small,high,good,1227
vhigh,low,4,2,med,low,unacc,382
vhigh,high,3,4,small,low,unacc,145
med,low,3,2,small,high,unacc,1218
vhigh,low,2,2,big,med,unacc,332
high,vhigh,2,4,med,low,unacc,445
low,vhigh,3,2,med,low,unacc,1327
vhigh,vhigh,3,4,med,low,unacc,40
high,high,2,4,small,high,acc,552
low,vhigh,4,NA,big,high,acc,1377
low,med,NA,2,big,high,unacc,1602
med,high,4,NA,small,high,acc,1047
low,vhigh,NA,NA,small,high,acc,1398
med,vhigh,NA,NA,small,low,unacc,964
vhigh,med,3,NA,big,high,acc,270
med,vhigh,4,4,small,low,unacc,928
vhigh,vhigh,NA,2,med,med,unacc,86
vhigh,low,3,2,small,med,unacc,353
vhigh,vhigh,2,2,med,med,unacc,5
high,low,4,2,big,low,unacc,817
low,low,4,2,big,low,unacc,1681
low,vhigh,NA,2,small,high,unacc,1380
low,med,3,NA,big,med,good,1565
vhigh,high,4,2,big,med,unacc,170
high,med,3,NA,med,low,unacc,697
low,low,2,NA,big,low,unacc,1645
med,med,2,2,small,med,unacc,1082
low,vhigh,3,2,big,high,unacc,1332
med,med,2,4,big,high,vgood,1098
vhigh,med,3,4,big,low,unacc,259
vhigh,low,3,4,small,low,unacc,361
low,vhigh,2,4,med,med,unacc,1310
high,vhigh,3,4,small,low,unacc,469
high,vhigh,3,NA,big,med,unacc,485
high,high,2,4,med,med,unacc,554
low,high,3,NA,small,med,acc,1451
vhigh,med,4,4,med,low,unacc,283
vhigh,high,3,4,small,med,unacc,146
high,high,4,2,med,med,unacc,599
high,med,4,2,small,med,unacc,704
low,low,4,2,med,low,unacc,1678
med,low,NA,4,small,low,unacc,1279
med,high,2,4,big,low,unacc,988
med,low,2,2,small,low,unacc,1189
high,med,3,NA,small,high,acc,696
vhigh,vhigh,3,NA,med,med,unacc,50
med,vhigh,2,4,med,med,unacc,878
med,vhigh,4,4,big,med,acc,935
high,high,4,NA,med,med,acc,617
high,vhigh,3,2,med,high,unacc,465
med,vhigh,2,4,med,low,unacc,877
high,high,2,NA,big,low,unacc,565
vhigh,low,3,NA,small,high,acc,372
low,vhigh,NA,2,big,med,unacc,1385
low,med,2,2,med,low,unacc,1516
med,low,4,NA,small,high,good,1263
vhigh,vhigh,3,2,big,high,unacc,36
low,low,NA,4,big,med,good,1718
vhigh,vhigh,NA,4,med,low,unacc,94
low,vhigh,2,4,big,high,acc,1314
vhigh,med,2,4,med,low,unacc,229
med,med,3,2,small,high,unacc,1110
vhigh,med,3,2,small,high,unacc,246
high,high,4,2,big,med,unacc,602
med,low,3,2,med,med,unacc,1220
high,high,4,2,small,low,unacc,595
high,vhigh,4,2,small,med,unacc,488
vhigh,vhigh,NA,4,big,high,unacc,99
low,high,2,NA,big,low,unacc,1429
low,high,4,2,big,low,unacc,1465
med,vhigh,2,NA,small,med,unacc,884
med,med,4,4,big,low,unacc,1150
low,vhigh,2,2,small,med,unacc,1298
low,low,4,4,small,med,acc,1685
vhigh,med,4,4,big,low,unacc,286
low,high,NA,4,med,low,unacc,1498
vhigh,low,2,2,med,med,unacc,329
low,med,NA,NA,med,low,unacc,1615
med,high,2,NA,small,high,unacc,993
high,vhigh,2,4,small,med,unacc,443
vhigh,med,NA,2,big,med,unacc,305
high,vhigh,3,2,med,med,unacc,464
med,low,3,NA,small,low,unacc,1234
med,vhigh,2,4,small,high,acc,876
med,low,4,2,small,med,unacc,1244
high,high,4,4,big,med,acc,611
vhigh,low,2,2,small,low,unacc,325
low,low,4,4,med,low,unacc,1687
med,low,2,NA,small,high,unacc,1209
low,high,3,NA,med,low,unacc,1453
high,high,NA,2,med,low,unacc,625
vhigh,low,4,NA,big,high,acc,405
vhigh,low,3,NA,small,med,unacc,371
high,high,4,2,small,high,unacc,597
vhigh,med,4,NA,small,med,unacc,290
high,low,3,NA,small,low,unacc,802
low,low,2,2,small,high,unacc,1623
med,low,4,NA,med,med,good,1265
vhigh,med,3,NA,small,med,unacc,263
high,vhigh,3,NA,med,low,unacc,481
med,low,NA,4,big,med,good,1286
low,low,NA,NA,small,high,good,1722
vhigh,med,NA,NA,big,high,acc,324
med,high,4,2,small,high,unacc,1029
low,low,NA,4,big,low,unacc,1717
vhigh,high,4,2,small,med,unacc,164
high,med,NA,2,med,low,unacc,733
high,med,NA,NA,small,med,unacc,749
vhigh,high,2,NA,med,low,unacc,130
med,low,4,2,big,high,unacc,1251
low,low,NA,4,small,high,good,1713
high,vhigh,2,4,big,low,unacc,448
high,low,2,4,big,low,unacc,772
med,low,2,2,big,low,unacc,1195
med,low,NA,4,small,med,acc,1280
low,low,4,2,big,high,unacc,1683
high,med,2,NA,med,low,unacc,670
med,med,3,4,big,low,unacc,1123
vhigh,vhigh,3,2,small,med,unacc,29
low,high,2,NA,big,med,acc,1430
high,vhigh,3,NA,small,high,unacc,480
med,low,2,NA,small,med,unacc,1208
high,vhigh,NA,2,big,low,unacc,520
vhigh,med,2,4,small,med,unacc,227
vhigh,high,2,NA,med,high,unacc,132
med,vhigh,3,2,big,high,unacc,900
low,low,4,NA,med,low,unacc,1696
med,low,NA,2,small,med,unacc,1271
low,med,2,2,med,med,unacc,1517
high,med,2,2,big,high,unacc,657
low,low,4,2,small,high,unacc,1677
high,high,4,4,med,med,acc,608
low,vhigh,3,2,big,low,unacc,1330
med,vhigh,3,4,med,med,unacc,905
vhigh,med,3,4,med,med,unacc,257
vhigh,vhigh,NA,NA,med,med,unacc,104
vhigh,med,4,NA,small,high,acc,291
low,low,3,4,med,low,unacc,1660
vhigh,low,3,NA,med,low,unacc,373
med,med,NA,NA,big,low,unacc,1186
low,high,2,NA,small,high,unacc,1425
high,med,4,4,big,high,acc,720
med,low,3,4,med,med,acc,1229
low,low,NA,2,big,high,unacc,1710
vhigh,vhigh,NA,2,med,high,unacc,87
med,med,3,NA,small,med,acc,1127
low,high,3,2,big,high,unacc,1440
low,low,NA,NA,big,low,unacc,1726
vhigh,low,4,2,small,med,unacc,380
low,high,4,4,med,high,vgood,1473
low,vhigh,2,4,big,med,acc,1313
med,high,NA,4,big,high,acc,1071
vhigh,low,4,NA,small,high,acc,399
low,vhigh,2,2,med,low,unacc,1300
med,vhigh,2,NA,small,low,unacc,883
vhigh,vhigh,NA,4,big,low,unacc,97
vhigh,low,3,2,big,low,unacc,358
high,med,2,4,small,med,unacc,659
med,high,2,NA,big,high,acc,999
vhigh,low,2,4,big,low,unacc,340
high,med,4,4,med,low,unacc,715
low,med,2,4,med,med,acc,1526
high,vhigh,2,2,big,high,unacc,441
low,med,4,4,med,med,good,1580
vhigh,med,3,4,small,med,unacc,254
med,vhigh,NA,NA,small,high,acc,966
low,vhigh,3,2,small,low,unacc,1324
low,vhigh,NA,NA,big,high,acc,1404
high,med,2,4,big,high,acc,666
high,high,2,4,small,med,unacc,551
med,med,4,NA,big,med,acc,1160
high,high,NA,NA,big,med,acc,647
high,vhigh,2,2,small,med,unacc,434
med,med,NA,2,small,high,unacc,1164
high,med,2,4,big,med,acc,665
vhigh,med,4,4,med,med,acc,284
low,vhigh,NA,2,med,high,unacc,1383
low,vhigh,3,4,small,high,acc,1335
low,high,2,2,med,high,unacc,1410
med,high,NA,NA,med,high,acc,1077
med,low,2,4,small,high,good,1200
low,vhigh,NA,4,small,med,unacc,1388
high,vhigh,NA,2,big,high,unacc,522
vhigh,med,2,2,small,med,unacc,218
med,low,NA,NA,small,high,good,1290
med,high,3,4,med,high,acc,1014
med,med,NA,4,big,med,acc,1178
med,high,4,4,med,med,acc,1040
med,high,3,NA,small,low,unacc,1018
vhigh,vhigh,4,4,small,low,unacc,64
low,med,3,4,med,med,acc,1553
high,vhigh,NA,2,med,low,unacc,517
vhigh,high,NA,2,small,high,unacc,192
med,med,3,NA,med,med,acc,1130
high,vhigh,NA,4,med,med,unacc,527
high,med,4,NA,small,high,acc,723
high,high,4,2,big,high,unacc,603
vhigh,med,2,2,big,med,unacc,224
low,high,2,NA,big,high,vgood,1431
vhigh,high,4,NA,med,med,unacc,185
med,vhigh,NA,2,big,high,unacc,954
vhigh,low,3,4,med,low,unacc,364
vhigh,med,4,NA,big,high,acc,297
vhigh,med,4,4,big,high,acc,288
high,vhigh,3,2,med,low,unacc,463
med,med,NA,4,med,med,acc,1175
high,vhigh,4,2,big,med,unacc,494
high,med,2,4,big,low,unacc,664
vhigh,med,NA,2,small,med,unacc,299
vhigh,low,4,2,small,high,unacc,381
med,low,4,4,small,low,unacc,1252
low,high,2,4,big,low,unacc,1420
high,med,2,NA,med,med,unacc,671
low,high,NA,4,small,low,unacc,1495
high,med,3,NA,big,med,acc,701
med,low,3,2,small,med,unacc,1217
med,med,2,NA,small,high,unacc,1101
vhigh,med,NA,NA,med,high,acc,321
low,vhigh,NA,4,med,high,acc,1392
high,vhigh,3,NA,med,med,unacc,482
med,vhigh,3,2,med,low,unacc,895
vhigh,vhigh,3,2,big,med,unacc,35
low,high,3,4,small,high,acc,1443
med,high,3,NA,small,high,acc,1020
high,low,2,2,small,low,unacc,757
med,med,3,4,med,high,acc,1122
vhigh,low,4,NA,med,med,acc,401
low,low,2,2,med,high,unacc,1626
high,med,4,4,small,low,unacc,712
low,high,4,NA,med,high,vgood,1482
vhigh,high,3,NA,med,low,unacc,157
med,med,4,NA,med,med,acc,1157
low,med,2,NA,med,low,unacc,1534
med,vhigh,4,4,med,med,acc,932
high,low,NA,2,small,med,unacc,839
vhigh,vhigh,3,2,small,low,unacc,28
low,med,3,4,small,high,good,1551
vhigh,high,2,NA,small,med,unacc,128
vhigh,med,3,2,med,low,unacc,247
med,low,4,NA,small,low,unacc,1261
vhigh,vhigh,4,NA,small,high,unacc,75
vhigh,med,2,NA,small,high,unacc,237
med,high,3,2,med,med,unacc,1004
high,vhigh,4,4,big,high,unacc,504
med,vhigh,2,NA,med,low,unacc,886
med,low,4,4,big,high,vgood,1260
med,low,2,2,big,med,unacc,1196
low,low,2,4,small,high,good,1632
high,high,4,4,med,high,acc,609
high,high,NA,2,small,high,unacc,624
med,med,2,4,med,high,acc,1095
vhigh,med,3,4,med,high,acc,258
med,vhigh,2,2,med,med,unacc,869
low,vhigh,4,NA,big,med,acc,1376
vhigh,low,4,NA,small,low,unacc,397
vhigh,vhigh,3,2,med,med,unacc,32
vhigh,low,4,2,med,high,unacc,384
low,low,3,NA,small,high,good,1668
low,med,2,NA,small,low,unacc,1531
med,high,3,2,small,high,unacc,1002
high,low,2,NA,med,high,acc,780
high,high,NA,2,big,low,unacc,628
med,low,3,2,med,high,unacc,1221
vhigh,high,2,4,small,low,unacc,118
low,med,3,2,big,high,unacc,1548
med,med,2,4,small,high,acc,1092
high,vhigh,4,4,big,low,unacc,502
low,vhigh,2,2,med,high,unacc,1302
vhigh,low,3,NA,med,med,acc,374
low,low,4,NA,big,low,unacc,1699
high,vhigh,4,4,small,med,unacc,497
high,low,3,NA,big,high,acc,810
vhigh,low,4,4,big,low,unacc,394
med,med,3,2,med,low,unacc,1111
vhigh,high,2,NA,small,low,unacc,127
low,vhigh,4,NA,small,med,unacc,1370
med,vhigh,3,NA,med,high,acc,915
vhigh,high,NA,2,med,low,unacc,193
vhigh,vhigh,4,4,big,med,unacc,71
high,med,3,2,small,low,unacc,676
vhigh,high,3,2,med,low,unacc,139
med,med,2,NA,small,low,unacc,1099
med,vhigh,2,2,big,low,unacc,871
high,med,4,4,small,med,unacc,713
med,low,2,4,small,med,acc,1199
vhigh,high,NA,4,big,med,unacc,206
low,high,NA,4,big,low,unacc,1501
med,low,NA,NA,big,med,good,1295
vhigh,low,4,4,med,low,unacc,391
low,low,2,4,big,med,good,1637
high,low,NA,4,small,high,acc,849
vhigh,vhigh,2,2,small,high,unacc,3
low,med,3,4,big,low,unacc,1555
vhigh,high,2,4,big,high,unacc,126
low,low,NA,4,small,med,acc,1712
vhigh,vhigh,3,NA,small,high,unacc,48
high,low,3,2,small,med,unacc,785
high,med,NA,NA,small,high,acc,750
med,med,4,2,big,med,unacc,1142
vhigh,low,3,2,small,low,unacc,352
high,high,3,NA,small,low,unacc,586
high,med,NA,4,small,high,acc,741
low,med,2,NA,big,high,vgood,1539
vhigh,high,2,NA,big,med,unacc,134
high,med,3,NA,small,low,unacc,694
high,low,2,2,big,med,unacc,764
med,vhigh,4,2,small,low,unacc,919
vhigh,med,2,4,big,high,acc,234
high,high,4,NA,small,high,acc,615
high,high,4,2,small,med,unacc,596
med,med,4,NA,med,high,vgood,1158
med,low,NA,4,big,low,unacc,1285
vhigh,high,4,NA,small,med,unacc,182
vhigh,high,3,2,med,med,unacc,140
high,vhigh,2,2,big,low,unacc,439
vhigh,med,3,4,big,med,acc,260
vhigh,vhigh,2,NA,big,med,unacc,26
low,high,3,NA,small,low,unacc,1450
vhigh,med,2,NA,small,med,unacc,236
high,high,3,NA,big,low,unacc,592
low,vhigh,2,4,small,high,acc,1308
med,med,2,2,big,med,unacc,1088
low,low,3,NA,small,low,unacc,1666
high,high,3,2,big,low,unacc,574
med,high,4,4,small,high,acc,1038
med,low,3,4,big,high,vgood,1233
high,low,2,NA,big,high,acc,783
med,high,2,4,small,low,unacc,982
med,high,2,4,big,med,acc,989
med,vhigh,NA,4,big,high,acc,963
low,med,4,NA,med,med,good,1589
med,high,NA,2,big,high,unacc,1062
med,vhigh,NA,4,med,low,unacc,958
med,vhigh,4,4,big,low,unacc,934
low,med,2,4,med,low,unacc,1525
med,low,4,NA,big,med,good,1268
vhigh,high,2,2,big,low,unacc,115
high,med,4,NA,small,low,unacc,721
med,high,4,4,big,med,acc,1043
low,high,2,NA,small,med,unacc,1424
med,low,2,2,small,med,unacc,1190
med,med,2,2,big,low,unacc,1087
med,med,4,4,small,low,unacc,1144
high,vhigh,3,NA,med,high,unacc,483
low,high,3,4,med,high,acc,1446
vhigh,med,2,2,med,low,unacc,220
med,med,4,2,med,high,unacc,1140
vhigh,vhigh,3,4,med,high,unacc,42
med,vhigh,4,4,big,high,acc,936
vhigh,low,2,2,med,high,unacc,330
low,vhigh,4,4,big,med,acc,1367
med,high,3,2,med,low,unacc,1003
low,med,2,2,med,high,unacc,1518
high,med,NA,2,med,med,unacc,734
med,vhigh,3,2,big,low,unacc,898
low,low,4,NA,med,high,vgood,1698
high,vhigh,NA,NA,big,high,unacc,540
med,low,2,4,big,med,good,1205
med,vhigh,NA,NA,med,high,acc,969
med,med,NA,4,big,high,vgood,1179
low,high,2,4,med,low,unacc,1417
med,low,3,NA,big,low,unacc,1240
high,med,NA,4,big,low,unacc,745
med,low,2,4,med,low,unacc,1201
vhigh,high,NA,4,small,med,unacc,200
vhigh,vhigh,4,NA,med,high,unacc,78
high,high,3,2,med,high,unacc,573
med,vhigh,4,4,small,med,unacc,929
low,med,4,4,big,low,unacc,1582
low,med,3,NA,small,low,unacc,1558
high,med,NA,2,med,high,unacc,735
low,med,2,NA,big,low,unacc,1537
high,vhigh,3,NA,big,low,unacc,484
low,med,NA,2,med,high,unacc,1599
high,vhigh,3,4,small,high,unacc,471
vhigh,high,NA,4,med,high,unacc,204
vhigh,vhigh,NA,2,small,low,unacc,82
med,low,4,2,small,low,unacc,1243
low,high,4,2,small,high,unacc,1461
vhigh,high,2,NA,small,high,unacc,129
med,high,2,2,med,low,unacc,976
high,med,3,2,med,high,unacc,681
vhigh,low,NA,2,small,high,unacc,408
high,med,NA,2,small,low,unacc,730
high,med,3,2,med,low,unacc,679
high,high,NA,4,med,med,acc,635
low,med,3,2,med,med,unacc,1544
vhigh,low,3,NA,big,low,unacc,376
med,high,4,4,med,low,unacc,1039
vhigh,vhigh,4,NA,small,low,unacc,73
vhigh,high,NA,4,big,high,unacc,207
vhigh,vhigh,3,NA,big,med,unacc,53
low,vhigh,NA,4,small,low,unacc,1387
high,med,3,NA,med,high,acc,699
med,high,NA,2,med,low,unacc,1057
vhigh,vhigh,4,NA,big,low,unacc,79
high,low,4,2,small,low,unacc,811
vhigh,low,4,2,big,med,unacc,386
med,low,NA,2,big,low,unacc,1276
low,vhigh,4,4,med,med,acc,1364
high,low,3,2,small,low,unacc,784
low,med,4,NA,small,high,good,1587
med,vhigh,3,4,big,low,unacc,907
high,high,3,4,med,low,unacc,580
high,high,4,4,small,high,acc,606
vhigh,vhigh,3,2,med,high,unacc,33
vhigh,med,NA,NA,med,low,unacc,319
med,vhigh,4,NA,small,high,acc,939
med,med,4,4,med,med,acc,1148
low,low,3,NA,big,low,unacc,1672
med,high,2,NA,small,med,unacc,992
low,high,2,4,small,low,unacc,1414
low,high,4,4,small,low,unacc,1468
low,high,2,4,small,high,acc,1416
vhigh,low,NA,4,big,high,acc,423
vhigh,high,4,4,big,high,unacc,180
low,vhigh,2,2,big,low,unacc,1303
low,med,2,NA,med,med,acc,1535
med,high,NA,4,big,med,acc,1070
med,vhigh,NA,2,med,high,unacc,951
low,low,NA,NA,med,med,good,1724
med,med,2,NA,big,med,acc,1106
high,med,4,4,big,med,acc,719
low,high,NA,4,med,med,acc,1499
vhigh,low,NA,4,med,high,acc,420
high,med,2,4,med,high,acc,663
vhigh,vhigh,3,NA,med,low,unacc,49
vhigh,low,2,NA,small,med,unacc,344
vhigh,high,4,2,med,med,unacc,167
high,low,3,NA,big,low,unacc,808
med,vhigh,3,NA,big,high,acc,918
low,vhigh,NA,2,small,med,unacc,1379
med,low,2,NA,big,med,good,1214
vhigh,vhigh,4,4,small,med,unacc,65
vhigh,vhigh,4,2,big,low,unacc,61
low,med,3,4,small,med,acc,1550
vhigh,med,NA,4,med,high,acc,312
low,high,NA,NA,med,med,acc,1508
high,vhigh,2,4,small,low,unacc,442
low,high,NA,NA,med,low,unacc,1507
high,vhigh,2,NA,small,low,unacc,451
vhigh,high,2,2,big,high,unacc,117
high,low,3,4,big,med,acc,800
low,high,4,NA,big,high,vgood,1485
med,vhigh,4,2,med,high,unacc,924
vhigh,low,2,NA,med,high,acc,348
high,med,2,NA,big,high,acc,675
high,med,4,NA,big,high,acc,729
high,med,NA,NA,med,med,acc,752
low,med,4,4,big,high,vgood,1584
vhigh,vhigh,3,2,med,low,unacc,31
low,high,3,4,big,med,acc,1448
med,low,3,NA,big,med,good,1241
med,high,3,NA,big,high,acc,1026
med,low,NA,2,med,low,unacc,1273
high,vhigh,4,2,big,low,unacc,493
vhigh,low,3,4,big,high,acc,369
low,vhigh,3,NA,small,med,unacc,1343
high,low,3,4,big,low,unacc,799
high,low,NA,2,small,high,unacc,840
med,high,NA,4,small,low,unacc,1063
med,low,2,NA,small,low,unacc,1207
low,vhigh,4,NA,small,high,acc,1371
med,low,2,NA,big,high,vgood,1215
vhigh,low,2,NA,big,low,unacc,349
med,low,3,4,small,med,acc,1226
vhigh,vhigh,2,2,big,low,unacc,7
vhigh,high,3,2,small,high,unacc,138
vhigh,high,3,2,big,low,unacc,142
med,vhigh,3,NA,big,med,acc,917
high,med,NA,2,small,med,unacc,731
low,low,NA,NA,med,low,unacc,1723
vhigh,high,2,2,small,med,unacc,110
med,high,3,4,small,med,unacc,1010
high,vhigh,NA,4,small,high,unacc,525
vhigh,vhigh,4,NA,med,low,unacc,76
high,vhigh,4,2,small,low,unacc,487
low,med,2,4,big,low,unacc,1528
low,med,4,NA,big,low,unacc,1591
high,low,4,NA,med,low,unacc,832
low,vhigh,2,NA,big,high,acc,1323
med,low,3,NA,small,high,good,1236
med,high,NA,2,med,high,unacc,1059
vhigh,med,3,2,med,high,unacc,249
high,vhigh,2,NA,med,med,unacc,455
vhigh,high,4,NA,small,high,unacc,183
high,med,3,4,med,high,acc,690
med,vhigh,2,NA,big,med,acc,890
high,low,3,NA,med,med,acc,806
low,high,3,NA,big,high,vgood,1458
med,med,4,NA,big,low,unacc,1159
med,med,3,4,small,low,unacc,1117
med,high,NA,2,med,med,unacc,1058
high,med,2,NA,med,high,acc,672
vhigh,vhigh,2,NA,big,low,unacc,25
vhigh,med,3,4,big,high,acc,261
vhigh,high,4,2,med,low,unacc,166
med,vhigh,4,4,med,low,unacc,931
med,high,3,NA,big,low,unacc,1024
low,vhigh,3,4,big,low,unacc,1339
low,med,NA,NA,med,high,vgood,1617
high,high,2,NA,small,med,unacc,560
low,vhigh,4,2,med,high,unacc,1356
low,vhigh,2,NA,small,med,unacc,1316
high,med,3,4,big,high,acc,693
vhigh,med,4,2,small,med,unacc,272
high,high,NA,4,med,high,acc,636
med,vhigh,NA,4,big,med,acc,962
low,low,3,4,med,med,acc,1661
low,med,NA,NA,big,high,vgood,1620
vhigh,med,3,2,med,med,unacc,248
high,low,3,2,med,high,unacc,789
high,vhigh,4,NA,small,high,unacc,507
vhigh,low,2,NA,med,med,unacc,347
high,high,2,4,small,low,unacc,550
